Wall time,Step,Value
1587558345.7522204,1121646,-0.609375
1587558473.2526257,1123028,-0.515625
1587558513.9801934,1123560,-0.5
1587558546.0880942,1124082,-0.484375
1587558884.2369716,1127032,-0.5625
1587560265.5647736,1138867,-0.296875
1587560818.3356216,1143944,-0.5
1587561619.3613293,1152775,-0.5
1587562226.312372,1159317,-0.609375
1587562985.6844494,1166629,-0.59375
1587563489.1035807,1170672,-0.5625
1587564498.5033596,1179736,-0.453125
1587564712.173239,1181518,-0.375
1587565341.1794937,1186851,-0.25
1587565487.371175,1188247,-0.390625
1587565880.3048174,1191320,-0.4375
1587565997.7312596,1192404,-0.21875
1587566072.8524106,1193050,-0.5
1587566258.9913535,1194591,-0.40625
1587568228.5231547,1212780,-0.296875
1587568238.5793192,1212918,-0.515625
1587568305.5548384,1213503,-0.46875
1587568691.2818954,1217136,-0.578125
1587568848.9135633,1218573,-0.390625
1587569554.9928436,1224600,-0.234375
1587569745.0714004,1226141,-0.234375
1587569826.9950266,1226807,-0.4375
1587570079.9835193,1229799,-0.421875
1587570790.4350832,1236167,-0.375
1587570848.30305,1236954,-0.34375
1587571427.0562246,1242365,-0.5625
1587571946.6680949,1246523,-0.484375
1587572638.2940555,1252527,-0.53125
1587572764.446024,1253655,-0.421875
1587575891.7347248,1282213,-0.421875
1587575893.527268,1282343,-0.3125
1587576233.8995185,1285304,-0.453125
1587576249.1818464,1285479,-0.328125
1587576263.974148,1285515,-0.5625
1587577338.4011385,1294470,-0.453125
1587577817.1794538,1298686,-0.203125
1587578547.1585662,1305393,-0.46875
1587578779.1920552,1307295,-0.421875
1587579051.6706374,1309920,-0.4375
1587579537.8810492,1313949,-0.40625
1587579852.8641334,1316833,-0.53125
1587580211.393824,1320628,-0.4375
1587580490.1382303,1323314,-0.515625
1587580578.6586921,1324336,-0.3125
1587581279.2715023,1331317,-0.53125
1587581657.3590963,1335041,-0.46875
1587581790.6127696,1336874,-0.53125
1587582557.360943,1343595,-0.4375
1587582601.742099,1344115,-0.34375
1587582758.1641326,1345350,-0.515625
1587583317.4010093,1349928,-0.4375
1587583415.1899552,1351011,-0.40625
1587585032.7703152,1365871,-0.5
1587586457.329958,1377640,-0.40625
1587586619.402414,1379236,-0.421875
1587586667.6392686,1379840,-0.4375
1587586783.7623897,1380735,-0.328125
1587587041.234963,1382903,-0.484375
1587587533.8822014,1388265,-0.5
1587588270.7105994,1395020,-0.578125
1587589730.9774356,1407816,-0.421875
1587590540.1915991,1414874,-0.5625
1587591337.4232035,1421972,-0.46875
1587591665.4564815,1424781,-0.28125
1587592869.107785,1435681,-0.390625
1587594868.525777,1455963,-0.546875
1587595289.4057026,1459716,-0.328125
1587595524.3447237,1461900,-0.4375
1587595641.8823693,1463192,-0.46875
1587595996.9416833,1465997,-0.5
1587597006.5934796,1475307,-0.390625
1587597989.9520893,1484144,-0.375
1587598247.4553895,1486198,-0.390625
1587598468.6338162,1487851,-0.34375
1587598757.0466259,1490269,-0.34375
1587598861.720412,1491231,-0.40625
1587598974.6351142,1492498,-0.390625
1587599175.2092335,1494240,-0.59375
1587599512.2804751,1497133,-0.3125
1587599528.2553785,1497215,-0.359375
1587599714.0612218,1498770,-0.328125
1587600257.8542297,1503986,-0.34375
1587600558.605302,1507784,-0.21875
1587600926.2551467,1512524,-0.46875
1587601443.3884344,1519627,-0.578125
1587601515.5578287,1520519,-0.671875
1587601636.8359234,1522274,-0.6875
1587601736.2709196,1523718,-0.71875
1587601855.59437,1525483,-0.90625
1587601865.9468067,1525648,-0.796875
1587603671.457271,1551057,-0.671875
1587603946.800065,1554882,-0.828125
1587604185.68648,1558207,-0.90625
1587604449.3677588,1561898,-0.8125
1587604613.2580345,1563983,-0.625
1587604768.5889215,1566226,-0.703125
1587604978.5131698,1568757,-0.71875
1587606308.0400488,1581801,-0.609375
1587607429.7380428,1593452,-0.578125
1587608084.8480625,1600505,-0.515625
1587608085.3242726,1600538,-0.484375
1587608268.6196232,1602008,-0.5625
