Wall time,Step,Value
1587446370.6701474,19357,-0.828125
1587446372.056474,19477,-0.828125
1587446372.1430254,19484,-0.78125
1587446382.0011175,19613,-0.8125
1587446391.5575273,19729,-0.890625
1587446400.9025702,19831,-0.71875
1587446401.1225908,19849,-0.71875
1587446401.9785228,19923,-0.78125
1587446411.2382188,20024,-0.671875
1587446411.51651,20048,-0.828125
1587446420.4895337,20118,-0.75
1587446421.8992994,20239,-0.78125
1587446441.3884783,20540,-0.875
1587446449.8775885,20570,-0.78125
1587446451.213643,20686,-0.859375
1587446459.6655757,20712,-0.8125
1587446470.5470953,20944,-0.765625
1587446480.0658772,21069,-0.84375
1587446492.4829435,21295,-0.859375
1587446502.2236974,21336,-0.8125
1587446502.8104188,21387,-0.796875
1587446503.230864,21422,-0.78125
1587446511.9045236,21463,-0.828125
1587446512.8682992,21545,-0.828125
1587446513.424409,21594,-0.734375
1587446513.4294329,21594,-0.6875
1587446523.3353686,21740,-0.875
1587446532.2356575,21811,-0.828125
1587446551.7232356,22056,-0.8125
1587446552.796626,22148,-0.6875
1587446552.82481,22151,-0.8125
1587446553.066328,22172,-0.796875
1587446562.8316865,22304,-0.90625
1587446572.8642287,22452,-0.78125
1587446592.1008124,22675,-0.828125
1587446603.5337248,22813,-0.875
1587446604.3216515,22883,-0.828125
1587446624.6791756,23152,-0.71875
1587446625.790544,23247,-0.796875
1587446635.6824186,23390,-0.796875
1587446635.7360923,23395,-0.84375
1587446644.3645034,23422,-0.875
1587446644.6555846,23447,-0.796875
1587446644.7947023,23459,-0.71875
1587446644.8701031,23466,-0.875
1587446645.837704,23548,-0.84375
1587446654.000421,23552,-0.828125
1587446654.054799,23557,-0.78125
1587446655.0031967,23638,-0.765625
1587446655.3642907,23668,-0.8125
1587446664.0574665,23716,-0.65625
1587446664.3293104,23739,-0.875
1587446665.5852044,23845,-0.671875
1587446673.8122473,23852,-0.734375
1587446674.8016632,23936,-0.828125
1587446684.3351152,24039,-0.796875
1587446693.957979,24163,-0.6875
