Wall time,Step,Value
1587663385.526347,2135476,-4.0
1587663493.1511946,2136306,-7.0
1587663775.2682207,2138567,-6.0
1587663859.2405193,2139240,-10.0
1587664300.4047446,2143177,-5.0
1587665677.6930017,2157639,-2.0
1587665909.7196615,2159727,0.0
1587665956.8933835,2160108,-4.0
1587666030.3849206,2160898,-1.0
1587666056.3623457,2161219,-316.0
1587666463.8543913,2165849,0.0
1587666591.4922605,2166899,-3.0
1587666701.026406,2167773,-4.0
1587666872.542763,2169436,-6.0
1587666879.4475436,2169479,-4.0
1587667090.7073534,2171519,-4.0
1587668254.7713215,2181911,0.0
1587668277.3365548,2182072,-3.0
1587669116.3751206,2189159,-18.0
1587669725.5607011,2195041,-16.0
1587670036.059589,2197628,-9.0
1587670156.879741,2198677,-11.0
1587670292.7214918,2199680,0.0
1587671364.2306285,2209207,-10.0
1587671777.8879988,2213268,0.0
1587671926.5651815,2214593,-4.0
1587672542.9468684,2221013,-2.0
1587672693.5347323,2222177,-1.0
1587672938.8062954,2224326,-10.0
1587673611.90384,2230882,-3.0
1587673628.879741,2230990,-5.0
1587673632.7550416,2231020,-5.0
1587674385.5874598,2238218,-3.0
1587674941.1465697,2244804,-13.0
1587675365.3901522,2249785,-1.0
1587676562.1617923,2262897,-9.0
1587676571.795323,2262962,-7.0
1587676688.0402386,2264009,-3.0
1587677208.1395738,2268480,-2.0
1587677821.2594519,2274367,-3.0
1587678640.0016246,2281760,-6.0
1587678650.635338,2281821,-9.0
1587678803.099746,2283144,-4.0
1587678833.5082595,2283349,0.0
1587679220.1328037,2287464,-8.0
1587679837.8658593,2292779,-34.0
1587680772.4366481,2301544,-8.0
1587680979.4398882,2303369,-11.0
1587681013.6185443,2303649,-7.0
1587682551.7410665,2318328,-5.0
1587682739.5471175,2320004,-8.0
1587683038.8528607,2322570,-3.0
1587683213.085887,2323999,0.0
1587683455.462925,2325916,-4.0
1587683799.4942474,2328573,-6.0
1587684181.988555,2331783,-3.0
1587684786.564857,2337913,-3.0
1587685630.6039503,2346218,-8.0
1587685900.7165878,2348585,-43.0
1587687285.36514,2360597,-7.0
1587687872.0410464,2366129,-1.0
1587688609.1768913,2372104,-2.0
1587690212.3101723,2386736,-19.0
1587692365.9599671,2406726,-7.0
1587692378.405352,2406817,-4.0
